filename,description
video1048.wav,a man is giving a speech with his voice
video1049.wav,a woman is speaking while music is playing in the background
video105.wav,a man is giving a speech with his voice
video1050.wav,a woman is giving a speech over a tannoy system
video1051.wav,a person is playing a song with a musical instrument
video1052.wav,a man is speaking and then a gun is fired
video1053.wav,a man is speaking while a machine is running in the background
video1054.wav,a person is walking on a hard surface at a steady pace
video1055.wav,music is playing and a person is singing in the background
video1056.wav,a group of people are talking and laughing with each other
video1057.wav,a person is playing a musical instrument with drums and other people are talking in the background
video1058.wav,a person is playing a drum while music plays in the background
video1059.wav,waves are crashing on the beach while the wind is blowing and people are talking
video1060.wav,a machine is turned on and then turns on and off
video1061.wav,a man is speaking while he is breathing in the background
video1062.wav,a man is speaking and then a woman is talking
video1063.wav,a woman is speaking over a tannoy system in the background
video1064.wav,a woman is speaking with a phone ringing in the background
video1065.wav,a group of people are talking and laughing with each other
video1067.wav,pages of a book are being turned over and over
video1068.wav,a woman is giving a speech while a child is speaking in the background
video1069.wav,a woman is speaking and then a beeping sound is being made
video107.wav,a man is speaking while cars are passing by
video1070.wav,a car is driving on the road while a man is speaking
video1071.wav,a basketball is bouncing and people are talking in the background
video1073.wav,a group of people are talking and laughing
video1074.wav,a woman is speaking over an intercom in the background
video1075.wav,a man is giving a speech with his voice
video1076.wav,a woman is giving a speech over an intercom
video1077.wav,a man is speaking while music is playing in the background
video1078.wav,a man is speaking while music plays in the background
video1079.wav,music is playing and a child is singing
video108.wav,a woman is speaking while food is sizzling in the frying pan
video1080.wav,a person is walking on a hard surface that is chopping wood
video1081.wav,a woman is giving a speech while a child is speaking
video1082.wav,a woman is speaking over a tannoy system while music plays in the background
video1083.wav,a woman is speaking while music is playing in the background
video1084.wav,music is playing and a man is singing
video1085.wav,a man is speaking while a drum is being struck
video1086.wav,a man is speaking while others are talking in the background
video1087.wav,a man is speaking while music is playing in the background
video1088.wav,a musical instrument is playing a song with drums and other instruments
video1089.wav,a woman is speaking over a tannoy system in the background
video109.wav,a woman is speaking and then a door is opened and closed
video1090.wav,the wind is blowing and the rain is hitting the ground
video1091.wav,a person is writing on a piece of paper with a marker on a hard surface
video1093.wav,a woman is giving a speech over a loud speaker
video1094.wav,a man is speaking while a radio is playing in the background
video1095.wav,a man is giving a speech and he is speaking
video1096.wav,a man is speaking while another woman is talking in the background
video1098.wav,someone is playing a song with a musical instrument
video1099.wav,a woman is speaking while birds are chirping in the background
video11.wav,a person is playing a song with a musical instrument
video110.wav,a loud whooshing occurs followed by a large explosion
video1100.wav,a woman is speaking while music plays in the background
video1101.wav,a person is playing a video game while a man is speaking
video1103.wav,a man is singing a song with a chant in the background
video1104.wav,a man is speaking and then a woman is giving a speech
video1106.wav,a woman is speaking while dishes are being moved around in the background
video1107.wav,a man is giving a speech with his voice
video1108.wav,a man is speaking while a video game is being played
video1109.wav,a train is passing by on the tracks and a bell is ringing
video111.wav,a woman is giving a speech while he is speaking
video1110.wav,a group of people are talking to each other while music plays in the background
video1111.wav,a man is speaking while dishes are being placed in the background
video1112.wav,a man is speaking while crickets are chirping in the background
video1113.wav,a man is speaking while a gun is fired in the background
video1114.wav,a man is speaking while music plays in the background
video1117.wav,a man is speaking and then he turns it off
video1119.wav,a dog is barking and growling while music plays in the background
video112.wav,a radio is playing and a man is speaking
video1120.wav,a man is giving a speech with his voice
video1121.wav,a man is giving a speech with his voice
video1122.wav,a person is playing a drum while a man is singing
video1123.wav,a man is speaking while a woman is talking in the background
video1124.wav,a person is playing a song with a guitar
video1125.wav,a woman is speaking while something is being fried in the background
video1126.wav,a woman is giving a speech over a tannoy system
video1129.wav,a person is eating food in a kitchen with a spoon and then they are placed on a hard surface
video113.wav,a woman is giving a speech while others are talking in the background
video1130.wav,a fan is turned on and off in the distance
video1131.wav,a woman is speaking and then coins are being shaken
video1132.wav,a person is playing a guitar with a musical instrument
video1133.wav,a person is singing a song with a piano music playing in the background
video1134.wav,a person is laughing and making a lot of noise
video1135.wav,a man is speaking and then he is breathing
video1136.wav,a man is giving a speech and he is speaking
video1137.wav,a man is speaking while a radio is playing in the background
video1138.wav,a man is speaking while he is talking in the background
video1139.wav,a man is giving a speech while a crowd of people are talking
video114.wav,a woman is speaking while waves are crashing in the background
video1140.wav,a large metal object is being hit against another piece of machinery
video1142.wav,a person is playing a song with a drum beat
video1143.wav,a man is speaking while he is talking in the background
video1144.wav,a man is speaking and then typing on a keyboard
video1145.wav,a woman is singing a song with a tambourine and a man sings in the background
video1146.wav,a car is revving its engine and then driving away
video1147.wav,a person is singing a song in a large open space
video1148.wav,a group of people are talking and laughing in a room
video1149.wav,a piano is playing a song in a beautiful melody
video115.wav,a man is speaking while water is running in the background
video1150.wav,children are playing and talking while music plays in the background
video1151.wav,a man is speaking and then he turns the radio off
video1153.wav,a woman is speaking while dishes are clanging in the background
video1154.wav,a woman is giving a speech and then she is speaking
video1156.wav,a person is singing a song and a man is speaking
video1157.wav,a man is speaking over an intercom in the background
video1158.wav,a woman is singing a song and a child sings in the background
video1159.wav,a woman is speaking and then a man is giving a speech
video116.wav,music is playing and a car is driving by
video1160.wav,a man is speaking and a cat is meowing
video1161.wav,a woman is singing a song while a child sings in the background
video1162.wav,a man is speaking while a motorcycle engine is running
video1163.wav,a man is speaking while a gun is fired in the background
video1164.wav,a group of people are talking and laughing with each other
video1166.wav,a woman is speaking over an intercom in the background
video1167.wav,a group of people chant together in unison
video1168.wav,a piano is playing a song in a beautiful melody
video117.wav,a woman is speaking over an intercom while a television plays in the background
video1170.wav,a man is speaking and then a car is revved up
video1171.wav,a man is speaking while a radio is playing in the background
video1172.wav,a large group of people chant together in the distance
video1173.wav,a man is speaking while music plays in the background
video1174.wav,a man is speaking while a door is opening and closing
video1175.wav,a woman is speaking and a child is crying in the background
video1177.wav,a man is speaking and then a gun is fired
video1179.wav,music is playing and a person is making a sound effects
video118.wav,a man is speaking while he is talking in the background
video1180.wav,a man is giving a speech with his voice
video1182.wav,a large metal object is being hit against another hard surface
video1183.wav,a man is giving a speech with his voice
video1184.wav,a woman is speaking and breathing in the background
video1185.wav,a man is speaking and then he is talking
video1187.wav,water is flowing down a waterfall at a steady pace
video1188.wav,a man is speaking while music plays in the background
video1189.wav,a man is speaking and then he turns it off
video119.wav,a man is rapping while music is playing in the background
video1190.wav,a man is speaking while cars are passing by in the background
video1191.wav,a man is speaking while cars are racing by
video1192.wav,a man is speaking while waves are crashing in the background
video1193.wav,a man is speaking and a radio is playing
video1194.wav,a man is speaking while cars are driving in the background
video1197.wav,a woman is speaking while music is playing in the background
video1198.wav,a man is speaking while music plays in the background
video1199.wav,a woman is speaking over an intercom in the background
video12.wav,a man is speaking while a video game is being played in the background
video120.wav,a man is speaking and a drum is being played
video1200.wav,a car engine revs up and drives off while birds chirp in the background
video1201.wav,a man is speaking while music is playing in the background
video1202.wav,a band is playing a song with drums and other instruments
video1203.wav,a man is speaking while a crowd of people are talking in the background
video1204.wav,a woman is giving a speech over a crowd of people
video1205.wav,a man is speaking while food is sizzling in the frying pan
video1206.wav,a man is speaking and then pauses between words
video1207.wav,a man is speaking while a television is on in the background
video1208.wav,a man is speaking while a cow moos in the background
video1209.wav,a man is speaking while birds are chirping in the background
video121.wav,a dog is barking and growling while a man is speaking in the background
video1210.wav,a man is speaking and using a piece of paper
video1211.wav,a man is speaking while a video game is being played
video1212.wav,a man is speaking while music is playing in the background
video1213.wav,a man is speaking and then he turns it off
video1214.wav,a woman is speaking while paper is being crumpled
video1217.wav,a man is speaking while music is playing in the background
video1218.wav,a man is speaking while music plays in the background
video1219.wav,a man is speaking while a video game is being played in the background
video122.wav,a person is walking on a hard surface at a steady pace
video1220.wav,a man is speaking and then he says something
video1221.wav,music is playing in the background while a person is walking
video1222.wav,a man is speaking while music is playing in the background
video1223.wav,a woman is speaking and a child is singing in the background
video1224.wav,a person is singing a stringed instrument while music plays in the background
video1225.wav,a man is speaking while birds are chirping in the background
video1226.wav,a man is speaking while a radio is playing in the background
video1228.wav,a group of people are talking and laughing with each other
video1229.wav,a man is speaking while a phone is ringing in the background
video123.wav,a man is speaking while a clock is ticking
video1230.wav,a man is giving a speech and he is speaking
video1233.wav,a woman is speaking and typing on a computer keyboard
video1234.wav,music is playing and a woman is singing in the background
video1235.wav,a woman is speaking and then a baby is crying
video1236.wav,music is playing and a musical instrument is being played
video1237.wav,a man is speaking and then a person is talking
video1239.wav,a man is speaking and then a radio is playing
video124.wav,a woman is speaking and a child is talking in the background
video1240.wav,a man is speaking while music plays in the background
video1241.wav,a crowd of people are cheering and whistling loudly
video1242.wav,a person is playing a song with a drum beat
video1243.wav,a piano is being played on a keyboard
video1244.wav,a man is speaking and then a loud explosion occurs
video1245.wav,a woman is speaking over an intercom in the background
video1246.wav,a woman is speaking over an intercom to another person
video1247.wav,a crowd of people are cheering and yelling while music plays in the background
video1248.wav,music is playing and a person is singing in the background
video1249.wav,a man is speaking and a radio is playing
video1250.wav,a group of people are talking and cheering while a crowd cheers
video1251.wav,a man is giving a speech and he is speaking
video1253.wav,a man is speaking while waves are crashing in the background
video1254.wav,a man is speaking and typing on a keyboard
video1255.wav,a man is speaking while a gun is fired in the background
video1256.wav,a man is speaking while music is playing in the background
video1257.wav,a man is rapping while he is singing a song
video1258.wav,a group of people are laughing and cheering
video1259.wav,a man is speaking and then a phone rings
video126.wav,a person is walking on a hard surface at a steady pace
video1260.wav,music is playing and a person is singing in the background
video1261.wav,a man is giving a speech while others are talking in the background
video1262.wav,a man is giving a speech with his voice
video1263.wav,a man is giving a speech and he is speaking
video1264.wav,a man is speaking while cars are driving in the background
video1265.wav,a man is giving a speech while others are talking in the background
video1266.wav,a man is speaking while cars are driving in the background
video1267.wav,a man is giving a speech with his voice
video1268.wav,a man is giving a speech while others are talking in the background
video1269.wav,a person is playing a song with a musical instrument
video1270.wav,a woman is speaking while food is sizzling in the background
video1271.wav,music is playing and a machine is running
video1272.wav,a machine is running at a constant rate and then a door opens and closes
video1273.wav,music is playing and people are talking and laughing
video1275.wav,music is being played in a beautiful melody
video1276.wav,a man is speaking while music plays in the background
video1277.wav,a child is crying and screaming while another woman is speaking
video1278.wav,a man is speaking and a ball is bouncing
video1279.wav,a man is singing a song while music is playing in the background
video128.wav,a man is talking while water is splashing in the background
video1280.wav,a man is giving a speech and a crowd cheers
video1281.wav,a woman is talking and laughing while music plays in the background
video1282.wav,a man is speaking while a radio is playing in the background
video1283.wav,a man is speaking and a woman is talking in the background
video1284.wav,a woman is speaking while a bell is ringing in the background
video1285.wav,a man is giving a speech with a crowd of people
video1286.wav,a person is playing a piano while birds are chirping in the background
video1287.wav,a man is giving a speech with his voice
video1288.wav,a group of people are talking and yelling over each other
video1289.wav,a man is speaking while paper is being crumpled
video129.wav,a man is speaking while a gun is fired in the background
video1290.wav,a person is playing a song with a drum beat
video1291.wav,a man is speaking while music is playing in the background
video1294.wav,a musical instrument is playing a song
video1295.wav,a crowd of people are cheering and yelling while music plays in the background
video1296.wav,a man is giving a speech with his voice
video1297.wav,a crowd of people are cheering and yelling while music plays in the background
video1298.wav,a man is speaking while music is playing in the background
video13.wav,a man is speaking and then music plays in the background
video130.wav,a man is speaking and then another person laughs
video1300.wav,a musical instrument is playing a song with a high pitch
video1301.wav,a man is speaking and then a door is opened and closed
video1302.wav,a man is speaking and a child is laughing
video1303.wav,a group of people are talking and laughing with each other
video1304.wav,a man is speaking and a bell is ringing
video1305.wav,a man is giving a speech and he is speaking
video1306.wav,a woman is speaking while music is playing in the background
video1307.wav,a woman is speaking and a child is singing in the background
video1308.wav,a person is using a shovel to dig into the video
video1309.wav,people are talking in the background as music plays in the distance
video131.wav,a group of people are talking to each other while music plays in the background
video1311.wav,a group of people are talking and laughing while music plays in the background
video1313.wav,a group of people are talking and laughing while music plays in the background
video1314.wav,a woman is speaking and then a child speaks
video1315.wav,a person is walking on a hard surface and people are talking in the background
video1316.wav,a man is speaking while birds are chirping in the background
video1317.wav,a man is giving a speech and he is speaking
video1318.wav,a musical instrument is playing a song
video1319.wav,a man is speaking while a horse is neighing in the background
video132.wav,music is playing in the background while a person is walking
video1320.wav,a woman is speaking and then paper is crumpled
video1321.wav,a man is giving a speech with his voice
video1323.wav,music is playing and a person is singing in the background
video1324.wav,a woman is speaking and a child is singing
video1325.wav,a man is speaking while a radio is playing in the background
video1326.wav,a woman is speaking while music plays in the background
video1328.wav,a man is speaking while music plays in the background
video1329.wav,people are talking while music plays in the background
video133.wav,a woman is speaking while a child is singing
video1330.wav,a woman is giving a speech with a lot of people
video1331.wav,a man is speaking and then pauses between words
video1332.wav,a person is singing a song with a nice music in the background
video1333.wav,a man is speaking while crickets are chirping in the background
video1334.wav,a man is speaking while music plays in the background
video1335.wav,a man is giving a speech with his voice
video1336.wav,a person is playing a song with a guitar
video1337.wav,a man is speaking while music is playing in the background
video1338.wav,a piano is playing a song with a synthesizer
video1339.wav,a man is speaking over an intercom in the background
video1340.wav,a crowd of people are talking while music is playing in the background
video1341.wav,a man is speaking while music is playing in the background
video1342.wav,a person is playing a song with a drum
video1343.wav,a man is giving a speech with his voice
video1344.wav,a man is speaking with his voice in the background
video1346.wav,a man is giving a speech and he is speaking
video1347.wav,a crowd of people are cheering and yelling while music plays in the background
video1348.wav,a woman is giving a speech and he is speaking
video1349.wav,a woman is speaking and then he turns a page over and over
video135.wav,a group of people are talking to each other while music plays in the background
video1350.wav,a person is playing a musical instrument in the background
video1351.wav,a man is speaking to another person who is talking in the background
video1352.wav,children are playing a song and a child is singing
video1353.wav,a musical instrument is playing a song with varying volumes and pitches
video1354.wav,a man is giving a speech with his voice
video1355.wav,music is playing and a woman is singing
video1356.wav,a man is speaking while a car is racing by
video1357.wav,a man is speaking while music is playing in the background
video136.wav,a man is speaking while another person is breathing in the background
video1360.wav,a man is giving a speech with a lot of people in the background
video1361.wav,a song is being played on a musical instrument
video1362.wav,a man is speaking and then a gun is fired
video1363.wav,a man is giving a speech with his voice
video1364.wav,a woman is speaking over a tannoy system in the background
video1365.wav,a crowd of people are cheering and whistling loudly
video1368.wav,a man is speaking while a video game is being played in the background
video137.wav,a woman is giving a speech over a tannoy system
video1370.wav,a person is singing a song in the background
video1371.wav,a man is speaking while music plays in the background
video1372.wav,a woman is giving a speech while a child is speaking in the background
video1373.wav,a person is playing a song with a musical instrument
video1374.wav,a man is speaking while music is playing in the background
video1375.wav,music is playing and a song is being played
video1376.wav,a man is speaking while music is playing in the background
video1377.wav,a man is giving a speech and he is speaking
video1378.wav,a man is speaking and typing on a computer keyboard
video1379.wav,a man is speaking while a video game is being played
video138.wav,a man is giving a speech with his voice
video1380.wav,a man is speaking and then he turns it off
video1381.wav,a person is playing a song with a beat
video1382.wav,a man is speaking while another person is talking in the background
video1383.wav,a man is singing a song with a chorus of people talking in the background
video1384.wav,a woman is speaking over an intercom to another person
video1385.wav,a man is singing a song and then another person sings alone
video1386.wav,a woman is speaking while music plays in the background
video1387.wav,a woman is speaking and a child is talking in the background
video1388.wav,a man is speaking while music is playing in the background
video1389.wav,a woman is speaking over a tannoy system in the background
video139.wav,a man is speaking while others are talking in the background
video1390.wav,a woman is speaking and a dog is barking in the background
video1391.wav,a man is speaking in the background while a musical instrument is playing
video1392.wav,a woman is speaking while food is sizzling in the background
video1393.wav,a woman is speaking and then a man is giving a speech
video1395.wav,a man is speaking while a spray is being used
video1396.wav,a man is speaking and then he is talking in the background
video1397.wav,a group of people are laughing and talking to each other while music plays in the background
video1398.wav,a group of people are talking while music plays in the background
video1399.wav,a man is speaking while water is flowing in the background
video14.wav,a man is speaking and then a sound effect is being played
video140.wav,people are talking in the background as someone is walking around
video1401.wav,a man is speaking while music is playing in the background
video1402.wav,a bell is ringing and music is playing
video1403.wav,someone is playing a musical instrument with a violin in the background
video1404.wav,a man is giving a speech while a crowd of people are laughing and talking
video1405.wav,a group of people are talking and laughing while music plays in the background
video1406.wav,a man is giving a speech with his voice
video1407.wav,a man is speaking with a radio in the background
video1408.wav,a man is giving a speech about something
video1409.wav,a child is speaking and a sound effect is being played
video141.wav,a woman is singing a song and a child sings in the background
video1410.wav,a person is writing on a piece of paper with a marker
video1412.wav,a man is giving a speech with his voice
video1413.wav,a person is walking on a hard surface and then a car drives away
video1414.wav,a woman is speaking while music plays in the background
video1415.wav,a person is singing a song with a musical instrument
video1416.wav,a woman is speaking and then a child is giving a speech
video1418.wav,a man is speaking and then he turns on the radio off
video1419.wav,a man is speaking over an intercom in a large room
video142.wav,a woman is speaking while music plays in the background
video1420.wav,a man is singing a song with a chorus of music in the background
video1421.wav,a woman is speaking and a radio is playing in the background
video1422.wav,a woman is speaking and a child is laughing
video1423.wav,a musical instrument is playing a song with a nice melody
video1424.wav,a piece of music is being played in the background
video1425.wav,a woman is giving a speech with his voice
video1426.wav,a man is giving a speech and laughs
video1427.wav,a woman is speaking over a tannoy system in the background
video1428.wav,a man is giving a speech and another person is laughing
video1429.wav,a man is giving a speech with his voice
video143.wav,a woman is speaking while music is playing in the background
video1430.wav,music is playing and a person is walking on a keyboard
video1431.wav,a woman is speaking while music plays in the background
video1432.wav,a man is giving a speech with his voice
video1433.wav,a woman is speaking while music plays in the background
video1434.wav,a man is singing while music is playing in the background
video1435.wav,a man is speaking and then a bell rings
video1436.wav,a person is rapping while a man is singing in the background
video1437.wav,a group of people are laughing and talking while music plays in the background
video1438.wav,a crowd of people are cheering and yelling loudly
video1439.wav,a man is speaking while another person is coughing in the background
video144.wav,a man is speaking while music is playing in the background
video1440.wav,a musical instrument is playing a song with no other music
video1441.wav,a man is speaking while a drum is being struck
video1442.wav,a man is giving a speech with his voice
video1444.wav,a man is giving a speech with his voice
video1445.wav,a man is speaking and then a phone rings
video1446.wav,music is playing and people are screaming and talking
video1447.wav,someone is playing a musical instrument with a variety of notes
video1448.wav,a woman is giving a speech with his voice
video1449.wav,a person is playing a drum while a bird is chirping in the background
video145.wav,a person is playing a song with a musical instrument
video1450.wav,a person is rapping a song with a drum beat
video1451.wav,a man is giving a speech and he is speaking
video1452.wav,a man is speaking while music plays in the background
video1453.wav,someone is opening and closing a door and walking around
video1454.wav,a woman is speaking while music plays in the background
video1455.wav,a man is speaking and he is breathing
video1456.wav,a woman is speaking over an intercom in the background
video1458.wav,a man is speaking and then he turns the page over and over
video1459.wav,a man is giving a speech with a lot of people
video1460.wav,a woman is speaking while music is playing in the background
video1461.wav,a woman is speaking over an intercom in the background
video1462.wav,a man is talking and laughing while another woman is speaking in the background
video1463.wav,a car is started and then the engine revs up and drives away
video1464.wav,a man is speaking while a motorcycle is revving its engine
video1466.wav,a man is speaking while a cat is meowing in the background
video1467.wav,water is being poured into a container and then a man is talking
video1468.wav,a man is speaking while typing on a computer keyboard
video1469.wav,a man is speaking while music is playing in the background
video147.wav,a woman is speaking while paper is being crumpled
video1470.wav,a woman is giving a speech with a crowd of people
video1471.wav,a woman is speaking and a child is talking in the background
video1473.wav,a woman is speaking and laughing while another person is breathing in the background
video1474.wav,a man is speaking while a bird is chirping in the background
video1475.wav,a man is speaking and then a car drives by
video1476.wav,a woman is giving a speech over an intercom
video1477.wav,a man is speaking and then a phone is ringing
video1478.wav,a child is speaking while music plays in the background
video1479.wav,coins are being dropped into a container while a person moves them in the background
video1480.wav,a man is singing while music is playing in the background
video1481.wav,a man is speaking while music plays in the background
video1482.wav,a man is speaking and a child is screaming while music plays in the background
video1483.wav,a man is speaking while dishes are being placed in the background
video1484.wav,a man is speaking while a bird is chirping in the background
video1485.wav,a woman is speaking and a child is singing
video1486.wav,a man is speaking over an intercom in the background
video1487.wav,a woman is speaking and he is writing on a piece of paper
video1488.wav,a man is speaking while music is playing in the background
video1489.wav,a woman is speaking while dishes are being stacked in the background
video149.wav,a man is speaking over a loud speaker while music plays in the background
video1490.wav,a man is speaking while a musical instrument is playing in the background
video1491.wav,a man is speaking and then a loud explosion occurs
video1492.wav,a man is speaking while music plays in the background
video1495.wav,a person is playing a song with a guitar
video1496.wav,a group of people are having a conversation with each other
video1497.wav,music is playing in the background and a musical instrument is being played
video1498.wav,a woman is singing a song while a man is speaking in the background
video1499.wav,music is playing and a woman is singing
video15.wav,a man is giving a speech with his voice
video150.wav,a man is speaking and then a gun is fired
video1500.wav,a man is speaking while a dog barks in the background
video1501.wav,a child is singing a song and a woman sings along with a music
video1503.wav,a woman is speaking while music plays in the background
video1504.wav,someone is playing a musical instrument with a violin
video1505.wav,a man is giving a speech and a crowd is cheering
video1506.wav,music is playing and a man is singing
video1507.wav,children are playing and talking while a child is speaking in the background
video1509.wav,a piece of music is being played in the background
video151.wav,a man is speaking while birds are chirping in the background
video1510.wav,music is playing while cars are passing by and a motorcycle is driving by
video1511.wav,a person is walking on a hard surface and a bell rings
video1512.wav,a woman is giving a speech while he is speaking
video1515.wav,a woman is speaking while music is playing in the background
video1516.wav,a woman is speaking and a child is talking in the background
video1517.wav,a person is singing a song in the background
video1518.wav,a man is speaking while music is playing in the background
video1519.wav,a man is speaking while music is playing in the background
video1520.wav,a man is speaking and then a bird is chirping in the background
video1521.wav,a group of people are singing and cheering while music plays in the background
video1524.wav,a musical instrument is playing a song and a woman is singing
video1525.wav,a man is speaking while music plays in the background
video1526.wav,a man is speaking and a child is laughing
video1527.wav,a woman is speaking and a child is talking in the background
video1528.wav,a man is giving a speech with his voice
video1529.wav,a man is speaking while cars are passing by in the background
video153.wav,a man is speaking while dishes are being washed
video1530.wav,a man is speaking while music is playing in the background
video1531.wav,a man is giving a speech with his voice
video1532.wav,a woman is speaking over an intercom to a child
video1533.wav,a woman is giving a speech with his voice
video1534.wav,a man is giving a speech over a loud speaker
video1535.wav,a baby cries and a woman speaks and a child laughs
video1536.wav,a man is speaking while a basketball is bounced on the court and people are talking
video1537.wav,a woman is speaking while music is playing in the background
video1538.wav,a person is singing a song with a nice music
video1539.wav,a man is speaking and then a child speaks
video1540.wav,a man is speaking and then a sound effect is being played
video1541.wav,a man is singing a song with a drum beat
video1542.wav,a man is speaking while a bird is chirping in the background
video1543.wav,music is playing and people are talking in the background
video1544.wav,a child is speaking and a baby is crying in the background
video1545.wav,a man is speaking while music plays in the background
video1546.wav,a woman is speaking and then a child is talking
video1547.wav,a person is playing a song with a musical instrument
video1548.wav,a man is speaking while a gun is fired in the background
video1549.wav,pages of a book are being turned on and off
video155.wav,a man is speaking while music plays in the background
video1550.wav,music is playing in the background as a person is walking
video1551.wav,a car is revving its engine and the tires are squealing
video1552.wav,a man is speaking while music plays in the background
video1553.wav,a person is singing a song in the background
video1554.wav,a chorus of people are singing and chanting
video1556.wav,a woman is speaking and a cat is meowing
video1557.wav,a gun is fired and a person is firing a machine guns
video1558.wav,a woman is giving a speech with her voice
video1559.wav,a man is speaking and then a car is started
video156.wav,a man is speaking and a radio is playing
video1560.wav,a woman is speaking with a lot of static in the background
video1561.wav,music is playing and a person is singing
video1562.wav,a group of people are talking and laughing with each other
video1563.wav,a gong is struck repeatedly and gets louder as time goes on
video1564.wav,a man is speaking and then another person is talking in the background
video1565.wav,music is playing and a video game is being played
video1566.wav,a group of people are talking and laughing
video1567.wav,the rain is pouring down very hard and the wind is blowing
video1568.wav,a man is speaking while music plays in the background
video1569.wav,a man is speaking and then a gun is fired
video157.wav,music is playing and a man is singing
video1571.wav,a man is giving a speech with his voice
video1572.wav,a man is speaking while a skateboard is rolling in the background
video1573.wav,a man is giving a speech with a lot of people
video1575.wav,a man is giving a speech with his voice
video1576.wav,a person is singing a song and then another man sings alone
video1577.wav,music is playing and a beat is being played
video1578.wav,a woman is speaking while dishes are being stacked in the background
video1579.wav,music is playing and people are talking in the background
video158.wav,a man is speaking and he is breathing
video1580.wav,a man is speaking with his voice in the background
video1581.wav,a woman is speaking over an intercom in the background
video1582.wav,a crowd of people are cheering and yelling loudly
video1583.wav,a drum beat is being played with drums and a person playing in the background
video1584.wav,a man is speaking while music is playing in the background
video1585.wav,a crowd of people are cheering and yelling loudly
video1587.wav,a man is speaking and then water is running
video1588.wav,a man is speaking and then a gun is fired
video1589.wav,a basketball is bouncing and people are talking in the background
video159.wav,a group of people are talking and laughing
video1590.wav,a woman is speaking and a child is crying
video1591.wav,a group of people are talking to each other
video1592.wav,a woman is speaking and then he is talking
video1593.wav,a woman is speaking and then a child is talking
video1594.wav,a person is singing a song with some music in the background
video1595.wav,a musical instrument is playing a song with a high pitch
video1596.wav,a man is speaking while music plays in the background
video1597.wav,a man is speaking while a door is opening and closing
video1598.wav,a man is speaking while a dog barks in the background
video1599.wav,a person is playing a song with a drum beat
video16.wav,a man is giving a speech and he is speaking
video160.wav,a woman is speaking and then a child is talking
video1601.wav,a woman is speaking over a tannoy system in the background
video1602.wav,a man is speaking over a tannoy system in a public place
video1603.wav,a person is playing a song with a stringed instrument
video1604.wav,a man is speaking while music is playing in the background
video1605.wav,a woman is singing a song with some music in the background
video1606.wav,a woman is singing a song and a child sings in the background
video1607.wav,a person is knocking on a door and then walking again
video1608.wav,music is playing and people are talking in the background
video1609.wav,a man is speaking while music plays in the background
video1610.wav,a man is speaking while birds are chirping in the background
video1611.wav,a woman is giving a speech with her voice
video1612.wav,a man is speaking while birds are chirping in the background
video1613.wav,a drum is being played in a rhythmic fashion
video1614.wav,a woman is speaking over an intercom in the background
video1615.wav,a woman is speaking while music plays in the background
video1616.wav,music is playing and a man is singing
video1617.wav,a man is speaking while a radio is playing in the background
video1619.wav,music is playing in the background while a person is walking
video162.wav,a woman is singing a song and a child sings in the background
